Time,Open,High,Low,Last,Change,%Chg,Volume
2025-08-17 17:00,64.87,65.04,64.51,64.54,-0.49,-0.75%,185
2025-08-17 17:05,64.55,64.59,64.53,64.58,0.04,0.06%,117
2025-08-17 17:10,64.56,64.63,64.54,64.63,0.05,0.08%,61
2025-08-17 17:15,64.65,64.71,64.65,64.67,0.04,0.06%,64
2025-08-17 17:20,64.68,64.68,64.65,64.65,-0.02,-0.03%,15
2025-08-17 17:25,64.68,64.76,64.68,64.75,0.1,0.15%,66
2025-08-17 17:30,64.72,64.72,64.66,64.66,-0.09,-0.14%,9
2025-08-17 17:35,64.66,64.66,64.66,64.66,0,0.00%,1
2025-08-17 17:40,64.64,64.64,64.61,64.64,-0.02,-0.03%,13
2025-08-17 17:45,64.64,64.64,64.64,64.64,0,0.00%,3
2025-08-17 17:50,64.63,64.63,64.63,64.63,-0.01,-0.02%,1
2025-08-17 18:00,64.64,64.64,64.62,64.63,0,0.00%,18
2025-08-17 18:05,64.6,64.6,64.6,64.6,-0.03,-0.05%,1
2025-08-17 18:10,64.59,64.6,64.58,64.58,-0.02,-0.03%,8
2025-08-17 18:15,64.6,64.62,64.6,64.62,0.04,0.06%,11
2025-08-17 18:20,64.61,64.61,64.61,64.61,-0.01,-0.02%,4
2025-08-17 18:25,64.61,64.65,64.61,64.64,0.03,0.05%,58
2025-08-17 18:30,64.64,64.65,64.64,64.64,0,0.00%,15
2025-08-17 18:35,64.65,64.65,64.65,64.65,0.01,0.02%,71
2025-08-17 18:40,64.64,64.65,64.61,64.61,-0.04,-0.06%,115
2025-08-17 18:45,64.63,64.63,64.61,64.62,0.01,0.02%,22
2025-08-17 18:50,64.6,64.62,64.6,64.62,0,0.00%,17
2025-08-17 18:55,64.6,64.6,64.58,64.58,-0.04,-0.06%,14
2025-08-17 19:00,64.59,64.61,64.55,64.57,-0.01,-0.02%,20
2025-08-17 19:05,64.56,64.63,64.56,64.59,0.02,0.03%,37
2025-08-17 19:10,64.6,64.69,64.6,64.67,0.08,0.12%,211
2025-08-17 19:15,64.67,64.69,64.67,64.67,0,0.00%,29
2025-08-17 19:20,64.67,64.68,64.66,64.67,0,0.00%,26
2025-08-17 19:25,64.66,64.66,64.63,64.64,-0.03,-0.05%,7
2025-08-17 19:30,64.65,64.65,64.63,64.63,-0.01,-0.02%,5
2025-08-17 19:35,64.65,64.68,64.65,64.68,0.05,0.08%,4
2025-08-17 19:40,64.69,64.78,64.69,64.77,0.09,0.14%,35
2025-08-17 19:45,64.77,64.77,64.74,64.74,-0.03,-0.05%,2
2025-08-17 19:50,64.77,64.84,64.77,64.83,0.09,0.14%,20
2025-08-17 19:55,64.81,64.84,64.81,64.82,-0.01,-0.02%,18
2025-08-17 20:00,64.83,64.83,64.54,64.6,-0.22,-0.34%,269
2025-08-17 20:05,64.64,64.67,64.55,64.55,-0.05,-0.08%,158
2025-08-17 20:10,64.59,64.67,64.57,64.63,0.08,0.12%,117
2025-08-17 20:15,64.65,64.73,64.62,64.73,0.1,0.15%,137
2025-08-17 20:20,64.75,64.77,64.74,64.75,0.02,0.03%,61
2025-08-17 20:25,64.76,64.76,64.68,64.71,-0.04,-0.06%,63
2025-08-17 20:30,64.72,64.76,64.72,64.73,0.02,0.03%,201
2025-08-17 20:35,64.75,64.75,64.68,64.7,-0.03,-0.05%,97
2025-08-17 20:40,64.71,64.73,64.7,64.72,0.02,0.03%,88
2025-08-17 20:45,64.78,64.83,64.77,64.82,0.1,0.15%,40
2025-08-17 20:50,64.82,64.83,64.82,64.82,0,0.00%,4
2025-08-17 20:55,64.84,64.84,64.81,64.82,0,0.00%,24
2025-08-17 21:00,64.82,64.84,64.79,64.79,-0.03,-0.05%,103
2025-08-17 21:05,64.8,64.83,64.79,64.8,0.01,0.02%,52
2025-08-17 21:10,64.82,64.83,64.79,64.8,0,0.00%,42
2025-08-17 21:15,64.79,64.82,64.78,64.79,-0.01,-0.02%,93
2025-08-17 21:20,64.79,64.82,64.78,64.82,0.03,0.05%,97
2025-08-17 21:30,64.78,64.85,64.76,64.82,0,0.00%,347
2025-08-17 21:35,64.82,64.82,64.74,64.79,-0.03,-0.05%,160
2025-08-17 21:40,64.79,64.84,64.79,64.83,0.04,0.06%,32
2025-08-17 21:45,64.84,64.88,64.83,64.84,0.01,0.02%,78
2025-08-17 21:50,64.84,64.84,64.77,64.77,-0.07,-0.11%,17
2025-08-17 21:55,64.78,64.83,64.78,64.81,0.04,0.06%,21
2025-08-17 22:00,64.82,64.86,64.82,64.83,0.02,0.03%,39
2025-08-17 22:05,64.81,64.81,64.74,64.78,-0.05,-0.08%,80
2025-08-17 22:10,64.76,64.85,64.75,64.83,0.05,0.08%,60
2025-08-17 22:15,64.83,64.83,64.8,64.8,-0.03,-0.05%,47
2025-08-17 22:20,64.82,64.86,64.81,64.84,0.04,0.06%,39
2025-08-17 22:25,64.84,64.88,64.83,64.83,-0.01,-0.02%,230
2025-08-17 22:30,64.83,64.85,64.8,64.85,0.02,0.03%,209
2025-08-17 22:35,64.85,64.88,64.85,64.87,0.02,0.03%,49
2025-08-17 22:40,64.87,64.87,64.87,64.87,0,0.00%,61
2025-08-17 22:45,64.87,64.87,64.82,64.85,-0.02,-0.03%,37
2025-08-17 22:50,64.86,64.88,64.86,64.88,0.03,0.05%,9
2025-08-17 22:55,64.9,64.93,64.9,64.91,0.03,0.05%,82
2025-08-17 23:00,64.93,64.93,64.9,64.9,-0.01,-0.02%,5
2025-08-17 23:05,64.91,64.92,64.9,64.92,0.02,0.03%,22
2025-08-17 23:10,64.91,64.92,64.91,64.92,0,0.00%,6
2025-08-17 23:15,64.91,64.91,64.91,64.91,-0.01,-0.02%,4
2025-08-17 23:20,64.94,64.94,64.92,64.92,0.01,0.02%,34
2025-08-17 23:25,64.92,64.95,64.92,64.95,0.03,0.05%,64
2025-08-17 23:30,64.95,64.98,64.95,64.96,0.01,0.02%,55
2025-08-17 23:40,64.95,64.95,64.95,64.95,-0.01,-0.02%,1
2025-08-17 23:45,64.93,64.95,64.93,64.94,-0.01,-0.02%,12
2025-08-17 23:55,64.9,64.9,64.9,64.9,-0.04,-0.06%,6
2025-08-18 0:00,64.95,64.95,64.92,64.93,0.03,0.05%,20
2025-08-18 0:10,64.91,64.92,64.91,64.92,-0.01,-0.02%,4
2025-08-18 0:15,64.93,64.96,64.93,64.95,0.03,0.05%,17
2025-08-18 0:20,64.94,64.94,64.94,64.94,-0.01,-0.02%,1
2025-08-18 0:25,64.94,64.94,64.86,64.89,-0.05,-0.08%,24
2025-08-18 0:30,64.88,64.99,64.87,64.93,0.04,0.06%,141
2025-08-18 0:35,64.95,64.97,64.94,64.96,0.03,0.05%,164
2025-08-18 0:40,64.94,64.97,64.92,64.93,-0.03,-0.05%,119
2025-08-18 0:45,64.93,64.95,64.92,64.93,0,0.00%,100
2025-08-18 0:50,64.93,64.96,64.92,64.96,0.03,0.05%,63
2025-08-18 0:55,64.95,64.97,64.93,64.93,-0.03,-0.05%,65
2025-08-18 1:00,64.95,65.02,64.93,65.02,0.09,0.14%,68
2025-08-18 1:05,65,65,64.95,64.95,-0.07,-0.11%,59
2025-08-18 1:10,64.98,65.1,64.98,65.06,0.11,0.17%,81
2025-08-18 1:15,65.06,65.12,65.06,65.12,0.06,0.09%,121
2025-08-18 1:20,65.13,65.27,65.11,65.27,0.15,0.23%,433
2025-08-18 1:25,65.24,65.24,65.18,65.2,-0.07,-0.11%,173
2025-08-18 1:30,65.21,65.29,65.21,65.25,0.05,0.08%,195
2025-08-18 1:35,65.25,65.28,65.23,65.28,0.03,0.05%,88
2025-08-18 1:40,65.27,65.27,65.2,65.25,-0.03,-0.05%,138
2025-08-18 1:45,65.27,65.28,65.2,65.22,-0.03,-0.05%,363
2025-08-18 1:50,65.19,65.22,65.13,65.14,-0.08,-0.12%,294
2025-08-18 1:55,65.15,65.22,65.15,65.16,0.02,0.03%,266
2025-08-18 2:00,65.16,65.16,65.04,65.04,-0.12,-0.18%,73
2025-08-18 2:05,65.04,65.05,64.95,64.97,-0.07,-0.11%,513
2025-08-18 2:10,64.98,65.02,64.95,64.98,0.01,0.02%,72
2025-08-18 2:15,64.98,65.02,64.98,65.02,0.04,0.06%,65
2025-08-18 2:20,65.02,65.06,65.01,65.04,0.02,0.03%,230
2025-08-18 2:25,65.05,65.05,65,65.04,0,0.00%,38
2025-08-18 2:30,65.04,65.08,64.96,64.98,-0.06,-0.09%,82
